name,category,price,energy,protein,fat,carbohydrate,salt,calcium,vegetable,iron
ご飯,主食,80,252,3.8,0.5,55.7,0.0,5,0,0.2
玄米ご飯,主食,100,248,4.2,1.5,53.0,0.0,9,0,0.6
鮭の塩焼き,主菜,320,190,22.0,10.0,0.5,1.3,18,0,0.5
鶏むね肉の照り焼き,主菜,280,230,28.0,8.0,12.0,1.5,12,20,0.7
豚しゃぶサラダ,主菜,300,260,20.0,15.0,14.0,1.4,45,90,1.1
豆腐ハンバーグ,主菜,260,210,16.0,10.0,15.0,1.2,90,45,1.8
ほうれん草のおひたし,副菜,100,45,3.0,0.8,5.0,0.7,80,70,2.0
ひじきの煮物,副菜,110,80,3.0,3.0,12.0,0.8,120,35,2.5
温野菜サラダ,副菜,120,75,3.0,2.0,12.0,0.4,55,120,1.0
冷ややっこ,副菜,90,90,7.0,5.0,3.0,0.4,80,0,1.2
豆腐とわかめのみそ汁,汁物,80,55,4.0,2.0,5.0,1.2,65,20,0.8
野菜スープ,汁物,90,65,2.5,2.0,10.0,0.9,35,80,0.5
