name,price,category,is_recommended,detail_url,updated_at,energy,protein,fat,carbohydrate,salt,calcium,vegetable,iron
豚肉の生姜焼き,341,主菜,True,https://west2-univ.jp/sp/detail.php?t=677156&c=611021,2026-08-05T12:52:53,246.0,20.0,14.8,10.8,1.6,28.0,80.0,0.9
（中）チキン竜田丼,583,丼・カレー,True,https://west2-univ.jp/sp/detail.php?t=677156&c=616002,2026-08-05T12:52:53,764.0,23.5,27.6,108.9,3.4,22.0,0.0,0.9
蒸し鶏オクラ和風和え,99,副菜,True,https://west2-univ.jp/sp/detail.php?t=677156&c=612063,2026-08-05T12:52:53,31.0,4.6,0.3,3.2,0.8,31.0,33.0,0.2
胡麻チゲ冷麺,594,麺類,True,https://west2-univ.jp/sp/detail.php?t=677156&c=617153,2026-08-05T12:52:53,649.0,30.3,24.2,78.5,6.6,100.0,21.0,2.6
かつおカツおろしソース,297,主菜,False,https://west2-univ.jp/sp/detail.php?t=677156&c=611090,2026-08-05T12:52:53,325.0,9.6,20.0,27.5,2.0,31.0,57.0,1.0
ぶり照り煮,253,主菜,False,https://west2-univ.jp/sp/detail.php?t=677156&c=611100,2026-08-05T12:52:53,156.0,13.0,10.6,5.6,1.0,4.0,0.0,0.8
チキンカツハニーマスタード,341,主菜,False,https://west2-univ.jp/sp/detail.php?t=677156&c=611040,2026-08-05T12:52:53,372.0,15.8,22.6,28.9,2.2,33.0,30.0,0.9
チキン南蛮,385,主菜,False,https://west2-univ.jp/sp/detail.php?t=677156&c=611002,2026-08-05T12:52:53,553.0,18.9,36.9,36.6,4.0,34.0,30.0,0.6
ハンバーグデミソース,297,主菜,False,https://west2-univ.jp/sp/detail.php?t=677156&c=611058,2026-08-05T12:52:53,243.0,15.4,12.9,15.9,1.7,48.0,53.0,1.4
ロースカツおろしポン酢,341,主菜,False,https://west2-univ.jp/sp/detail.php?t=677156&c=611035,2026-08-05T12:52:53,393.0,15.6,26.1,24.2,1.9,34.0,50.0,0.6
ローストチキン彩りトマトソース,385,主菜,False,https://west2-univ.jp/sp/detail.php?t=677156&c=611203,2026-08-05T12:52:53,233.0,18.1,14.8,7.4,1.2,30.0,68.0,1.0
豆腐チゲ,297,主菜,False,https://west2-univ.jp/sp/detail.php?t=677156&c=611074,2026-08-05T12:52:53,226.0,16.4,11.8,17.0,3.3,83.0,100.0,2.4
ライス（ミニ）,99,主食,False,https://gakushoku.coop/items/610004,2026-08-04,156.0,2.5,0.3,37.1,0.0,3.0,0.0,0.1
ライス（中）,187,主食,False,https://gakushoku.coop/items/610002,2026-08-04,343.0,5.5,0.7,81.6,0.0,7.0,0.0,0.2
ライス（大）,231,主食,False,https://gakushoku.coop/items/610001,2026-08-04,437.0,7.0,0.8,103.9,0.0,8.0,0.0,0.3
ライス（小）,143,主食,False,https://gakushoku.coop/items/610003,2026-08-04,250.0,4.0,0.5,59.4,0.0,5.0,0.0,0.2
味噌汁,44,汁物,False,https://gakushoku.coop/items/614010,2026-08-04,24.0,1.6,0.8,3.0,1.7,14.0,0.0,0.2
かけうどん,308,麺類,False,https://comenu.jp/tokyo-univ/390144/menu/617065,2026-08-04,346.0,8.8,2.0,73.4,4.2,21.0,5.0,0.7
かけそば,308,麺類,False,https://comenu.jp/tokyo-univ/390144/menu/617066,2026-08-04,321.0,14.0,2.4,60.9,3.8,26.0,5.0,2.0
冷やしうどん,352,麺類,False,https://comenu.jp/tokyo-univ/390144/menu/617101,2026-08-04,345.0,9.6,2.1,72.2,3.9,28.0,5.0,0.9
冷やしそば,352,麺類,False,https://comenu.jp/tokyo-univ/390144/menu/617102,2026-08-04,320.0,14.8,2.5,59.7,3.5,33.0,5.0,2.2
温玉ぶっかけうどん,473,麺類,False,https://comenu.jp/tokyo-univ/390166/menu/617001,2026-08-04,536.0,16.5,17.4,79.7,3.8,58.0,5.0,1.9
